x,y,
3,1,a
3,1.1,b
3,1.2,c
3,1.3,d
3,1.4,e
3,1.5,f
3,1.6,g
3,1.7,a
3,1.8,b
3,1.9,c
3,2,d
3,2.1,e
3,2.2,f
3,2.3,g
2.4,2.4,a
2.5,2.4,b
2.6,2.4,c
2.7,2.4,d
2.8,2.4,e
2.9,2.4,f
3,2.4,g
3.1,2.4,a
3.2,2.4,b
3.3,2.4,c
3.4,2.4,d
3.5,2.4,e
3.6,2.4,f
4.4,1,g
4.3,1.1,a
4.15,1.2,b
4.1,1.3,c
4.05,1.4,d
4,1.5,e
4,1.6,f
4,1.7,g
4.05,1.8,a
4.1,1.9,b
4.15,2,c
4.3,2.1,d
4.25,2.1,e
4.5,1,f
4.6,1.1,g
4.75,1.2,a
4.8,1.3,b
4.85,1.4,c
4.9,1.5,d
4.9,1.6,e
4.9,1.7,f
4.85,1.8,g
4.8,1.9,a
4.75,2,b
4.6,2.1,c
4.55,2.15,d
4.5,2.15,e
4.45,2.1,f
5.5,1,g
5.5,1.1,a
5.5,1.2,b
5.5,1.3,c
5.5,1.4,d
5.5,1.5,e
5.5,1.6,f
5.5,1.7,g
5.5,1.8,a
5.5,1.9,b
5.5,2,c
5.5,2.1,d
5.5,2.2,e
6.5,1,f
6.5,1.1,g
6.5,1.2,a
6.5,1.3,b
6.5,1.4,c
6.5,1.5,d
6.5,1.6,e
6.5,1.7,f
6.5,1.8,g
6.5,1.9,a
6.5,2,b
6.5,2.1,c
6.5,2.2,d
5.6,2.1,e
5.7,2,f
5.8,1.9,g
5.9,1.8,a
6,1.7,b
6.1,1.6,c
6.2,1.5,d
6.3,1.4,e
6.4,1.3,f
6.5,1.2,g
7.05,0.4,a
7.15,0.5,b
7.25,0.6,c
7.35,0.7,d
7.45,0.8,e
7.55,0.9,f
7.65,1,g
7.75,1.2,a
7.85,1.3,b
7.95,1.4,c
8.05,1.5,d
8.15,1.6,e
8.25,1.7,f
8.35,1.8,g
8.45,1.9,a
8.55,2,b
8.65,2.1,c
8.75,2.2,d
7.7,1.2,e
7.65,1.3,f
7.6,1.4,g
7.55,1.5,a
7.5,1.6,b
7.45,1.7,c
7.4,1.8,d
7.35,1.9,e
7.3,2,f
7.25,2.1,g
7.2,2.2,a
7.7,1.1,b
